feature,mean_importance,fold_2005,fold_2006,fold_2007,fold_2008,fold_2009,fold_2010,fold_2011,fold_2012,fold_2013,fold_2014,fold_2015,fold_2016,fold_2017,fold_2018,fold_2019,fold_2020
revenue_growth_variability_3y_rank,0.002951380210367206,0.0012298957131054316,0.0011907080351365412,0.0020722682512394086,0.0010763078175956907,0.0021350390325621392,0.0022580502884946936,0.0029897450509979062,0.0023269801990474562,0.0024309258352984003,0.0028462189188660017,0.004740025603261137,0.0045888769837341015,0.004332828162213221,0.0041321345578322535,0.00466475642502223,0.004207322491468677
ebitda_to_ev_rank,0.002870098781658006,0.0030914123620207554,0.0012400475602217251,0.0013927007741003214,0.00118452821035614,0.00284748784832577,0.004948481157643538,0.004768567392261013,0.006382013366377054,0.006860638263646646,0.004716670834990025,0.0018977913318504148,0.0008789307313579474,0.0012990409941512485,0.0013966804997084593,0.001051726044302373,0.001964863135214656
tangibles_consistency_12q_rank,0.0027543763516294758,0.002800624683482099,0.002042056107108018,0.0014561138670337308,0.0015008409519995346,0.0016824911859770226,0.002947293478620856,0.003719567331618473,0.0035954806753453476,0.003915456612323042,0.004223005871851895,0.003842887975642514,0.002147809619725701,0.0023392263980082165,0.002284776877458566,0.002965145096734415,0.0026072448931421764
net_debt_to_ebitda_rank,0.0026948586316032108,0.003287708469643463,0.0028628667189402332,0.0011328431154295478,0.0017817819163927265,0.0019214434438507503,0.002390582932197352,0.002349097365686569,0.002391719937679201,0.002986042363372457,0.004005768853820052,0.0027212240760307073,0.003476974439590044,0.0034140372272525323,0.0034407429036973605,0.003031360330234869,0.001923544011833498
interest_coverage_rank,0.0026922736352752615,0.0033696637327411587,0.0024577423014243106,0.0020814913315105187,0.0017538890361448712,0.0031429319883567674,0.003332723622476699,0.003916552274092866,0.0037244759353592936,0.0038465888217611294,0.003747334265353628,0.003636019421081857,0.0020493531665472632,0.0017330575964407079,0.0009505997909915961,0.001567528216645504,0.001766426663476015
revenue_consistency_20q_rank,0.0026447416366426673,0.004172820554188939,0.002812981299976801,0.0020008243352446133,0.0018665977274041512,0.0019914115127745145,0.002379251237958218,0.0031292665169178604,0.00560093118070334,0.00273158764958851,0.0019169117876409664,0.00268003771170486,0.0027832791976613682,0.0021846636802521123,0.00203690767815171,0.0016815592350474743,0.0023468348810672356
share_count_growth_1y_rank,0.002596499545301686,0.005327663624107175,0.003362797089096042,0.0013400826939683572,0.0016650854816660653,0.0019146865699014013,0.0019576178593205137,0.0029755283577272474,0.005331713631014767,0.0035434639544983863,0.00270665664086149,0.002154957874937166,0.0023973619846444786,0.001868340186376782,0.001899565559580115,0.001414511740162374,0.0016839594769646113
capex_to_assets_rank,0.002483520765676075,0.004100067517328532,0.002862033493581482,0.003629725454929045,0.002216049041728432,0.0026502408386364674,0.0023127859618300313,0.0018758322382179718,0.0019470233792040705,0.0016537364683253837,0.0017405508440115917,0.0017750593247422186,0.002228209596161779,0.002341010537674298,0.0027131329027280096,0.0027950665913380845,0.002895808060379809
roc_greenblatt_rank,0.0024648544238895587,0.003323259163670168,0.002321328361663208,0.0029489379345624006,0.002208301431823149,0.003884471393788125,0.003788419519469999,0.0036529476114209886,0.0039843958171411785,0.0031836338055621916,0.0018616615621229727,0.0015256251916220536,0.0007835527166596715,0.0010963146697129328,0.0017708197787505088,0.0020716454995119127,0.0010323563247514776
book_to_market_rank,0.0024479552978662503,0.004195548645937477,0.004896808315467646,0.003360508519098535,0.002412207660313721,0.0022576811312908533,0.0027981668174206402,0.0017499391630594783,0.0027519961774226153,0.001823976730408339,0.0016775471721701888,0.0019822319311892434,0.0017071791099397442,0.0016322087902928323,0.0018360028751285024,0.002346937630258111,0.0017383440964620792
revenue_trend_20q_rank,0.002440954444219774,0.004749987442683026,0.002827966021003665,0.0015642316237430066,0.0028776102863277684,0.0029441837905366977,0.002800658049475288,0.0033859805728382927,0.004336300050316746,0.0022045950249537133,0.001900524020348732,0.0010915841994452728,0.0018899309778334884,0.001825501276396689,0.0012433551838493073,0.0018504478268676456,0.0015624147608970422
cash_to_assets_rank,0.0024300541963363335,0.005350177115895415,0.00342213461501867,0.0034443071106817894,0.0027158264878289176,0.002621013543057924,0.0024350186232620385,0.0026211663479838057,0.002020323933909431,0.0021042985011816106,0.001611208387440123,0.0013890752969887474,0.0017788663847435975,0.001831516999518309,0.0017148855841825996,0.0019635320617082124,0.0018575161479801555
ocf_trend_12q_rank,0.0023947352851548817,0.002692578698462898,0.002080425226004496,0.003237366977304865,0.002971648131643797,0.0020370078621646617,0.001745476056536497,0.0020808647285435367,0.0021487826844359898,0.0021174459122410157,0.0014576993575478102,0.0028488483484154677,0.002794805975275912,0.0022842439718546016,0.0019988666308624467,0.0030524504624162316,0.0027672535387678887
